InputX,InputY,InputZ,Parameter1,Parameter2,Parameter3,Output1
0.599018337,0.418664233,0.79813529,0,0,0,0
0.700327657,0.26717326,0.248808214,0,0,0,0
0.080128639,0.103938117,0.348572933,0,0,0,0
0.995142846,0.258129597,0.787650735,0,0,0,0
0.390441039,0.653246607,0.732206988,0,0,0,0
0.778683031,0.168003475,0.376043956,0,0,0,0
0.00167593,0.139834255,0.916383712,0,0,0,0
0.990801568,0.040959731,0.790529385,0,0,0,0
0.224794891,0.292924629,0.052623183,0,0,0,0
0.852015949,0.380457957,0.00996289,0,0,0,0
0.644948688,0.479965853,0.419280657,0,0,0,0
0.020723192,0.147123514,0.812267069,0,0,0,0
0.544249977,0.474383844,0.001357909,0,0,0,0
0.116675941,0.006123865,0.570988474,0,0,0,0
0.697532115,0.382023241,0.22748433,0,0,0,0
0.483657078,0.172438094,0.973383654,0,0,0,0
0.221763131,0.347313697,0.899515663,0,0,0,0
0.761936568,0.183291011,0.457987936,0,0,0,0
0.51159584,0.15957748,0.678932414,0,0,0,0
0.724125405,0.496550128,0.726015279,0,0,0,0
0.449751687,0.451851665,0.318240197,0,0,0,0
0.102042853,0.159666056,0.300482474,0,0,0,0
0.622756008,0.722268046,0.530160926,0,0,0,0
0.411291156,0.788412225,0.763533107,0,0,0,0
0.006399131,0.291904548,0.967375481,0,0,0,0
0.808660831,0.115700479,0.842188666,0,0,0,0
0.898946043,0.680824186,0.841621767,0,0,0,0
0.420779731,0.324150606,0.272355764,0,0,0,0
0.376269477,0.838548883,0.225325156,0,0,0,0
0.422560262,0.013343744,0.319397292,0,0,0,0
0.67889741,0.676737178,0.374059057,0,0,0,0
0.060338179,0.834133683,0.56822722,0,0,0,0
0.852129704,0.941635125,0.310679087,0,0,0,0
0.477229099,0.047488496,0.166720717,0,0,0,0
0.722606054,0.650365659,0.256697225,0,0,0,0
0.666173162,0.611757915,0.326266787,0,0,0,0
0.660160889,0.389571174,0.97002772,0,0,0,0
0.523623358,0.317381279,0.028878562,0,0,0,0
0.57810092,0.142362474,0.753711473,0,0,0,0
0.097634768,0.141795149,0.288300937,0,0,0,0
0.486716811,0.957509726,0.721314948,0,0,0,0
0.904395539,0.769415908,0.205528205,0,0,0,0
0.413665644,0.230502293,0.761934728,0,0,0,0
0.667204587,0.743111971,0.838097606,0,0,0,0
0.973617774,0.729861609,0.077636123,0,0,0,0
0.06161846,0.779160909,0.865260373,0,0,0,0
0.069660982,0.017855366,0.156901602,0,0,0,0
0.372624572,0.830934064,0.187436086,0,0,0,0
0.009638225,0.459397208,0.9776117,0,0,0,0
0.846294076,0.000163252,0.377535158,0,0,0,0
0.218746767,0.651232986,0.532813172,0,0,0,0
0.35732933,0.046135869,0.432019671,0,0,0,0
0.326514834,0.618690852,0.221038241,0,0,0,0
0.337253275,0.229831717,0.253186483,0,0,0,0
0.076120924,0.107786855,0.523637711,0,0,0,0
0.216856368,0.617298037,0.313152329,0,0,0,0
0.639917136,0.104577535,0.966845041,0,0,0,0
0.851841203,0.447568702,0.998543585,0,0,0,0
0.424136038,0.418830932,0.601072981,0,0,0,0
0.231126677,0.000747002,0.638008561,0,0,0,0
0.788442908,0.145614772,0.277911853,0,0,0,0
0.582663193,0.358796624,0.978242363,0,0,0,0
0.879477009,0.852544744,0.294854451,0,0,0,0
0.057923328,0.414551777,0.072458424,0,0,0,0
0.599672339,0.972811559,0.300498063,0,0,0,0
0.308018229,0.426132192,0.451767644,0,0,0,0
0.239185458,0.946013995,0.081228343,0,0,0,0
0.903570045,0.861953766,0.893351506,0,0,0,0
0.189623901,0.067485238,0.884324736,0,0,0,0
0.796711927,0.389957299,0.682990203,0,0,0,0
0.219343056,0.804087257,0.445800069,0,0,0,0
0.974955141,0.593397354,0.200445733,0,0,0,0
0.87314055,0.294922068,0.119139287,0,0,0,0
0.945568145,0.446823133,0.058993602,0,0,0,0
0.335479595,0.782342716,0.713241802,0,0,0,0
0.346581776,0.196002222,0.973176117,0,0,0,0
0.776413219,0.171212828,0.030970389,0,0,0,0
0.407375348,0.779084475,0.318850622,0,0,0,0
0.468105364,0.918937871,0.047261404,0,0,0,0
0.865147792,0.492497283,0.135092275,0,0,0,0
0.926801987,0.244586166,0.054403858,0,0,0,0
0.759503866,0.993667003,0.845983708,0,0,0,0
0.006694465,0.705600114,0.864368892,0,0,0,0
0.691873079,0.081148854,0.875261637,0,0,0,0
0.751791486,0.595821192,0.756387029,0,0,0,0
0.504281477,0.333262237,0.092508309,0,0,0,0
0.30870889,0.601768701,0.394222571,0,0,0,0
0.211824078,0.575677156,0.437616746,0,0,0,0
0.440673318,0.145196329,0.977313744,0,0,0,0
0.564202923,0.845012784,0.225355597,0,0,0,0
0.964040233,0.899680254,0.343481297,0,0,0,0
0.038189685,0.241232283,0.551697827,0,0,0,0
0.35233696,0.015538759,0.497822656,0,0,0,0
0.46803536,0.439096363,0.791943011,0,0,0,0
0.484008915,0.221007542,0.506599362,0,0,0,0
0.062061754,0.292018663,0.403683646,0,0,0,0
0.175381013,0.083667996,0.948825053,0,0,0,0
0.394677435,0.21230718,0.501652666,0,0,0,0
0.345806916,0.909520231,0.831278606,0,0,0,0
0.039015418,0.371640814,0.253022039,0,0,0,0
0.47543363,0.490393913,0.867311999,0,0,0,0
0.546007835,0.921115235,0.00783209,0,0,0,0
0.290218938,0.061578713,0.041128237,0,0,0,0
0.309609376,0.364854823,0.019232768,0,0,0,0
0.812406887,0.458500928,0.057914019,0,0,0,0
0.557584172,0.204565927,0.415867702,0,0,0,0
0.327100219,0.274266227,0.160944027,0,0,0,0
0.953179596,0.272381935,0.976223964,0,0,0,0
0.150290914,0.957840053,0.726922225,0,0,0,0
0.395553154,0.864715225,0.969097277,0,0,0,0
0.500925914,0.616668343,0.707730842,0,0,0,0
0.084637017,0.34566453,0.184129,0,0,0,0
0.196212454,0.430196466,0.824496952,0,0,0,0
0.473999806,0.360058755,0.102924982,0,0,0,0
0.762500725,0.166216216,0.890837231,0,0,0,0
0.536667634,0.877096674,0.754766157,0,0,0,0
0.818915375,0.978439396,0.454872572,0,0,0,0
0.167301701,0.271727089,0.425265831,0,0,0,0
0.5695356,0.925636288,0.767784634,0,0,0,0
0.37894621,0.575370248,0.986956268,0,0,0,0
0.712554603,0.485743431,0.076234846,0,0,0,0
0.414352985,0.11936684,0.96842656,0,0,0,0
0.677754798,0.413373548,0.182764971,0,0,0,0
0.978857092,0.22162257,0.174255616,0,0,0,0
0.133550211,0.618914498,0.521210858,0,0,0,0
0.525124446,0.723920557,0.113530506,0,0,0,0
0.306013651,0.838582824,0.176370727,0,0,0,0
0.714831066,0.803791937,0.231599967,0,0,0,0
0.356536254,0.766708217,0.519279676,0,0,0,0
0.488650652,0.687954426,0.643715451,0,0,0,0
0.164562726,0.788079528,0.334147186,0,0,0,0
0.861604565,0.883251836,0.713435967,0,0,0,0
0.654483655,0.298247452,0.950414699,0,0,0,0
0.604477083,0.053950362,0.11374641,0,0,0,0
0.475745422,0.889734971,0.274922386,0,0,0,0
0.130665928,0.423202572,0.030348866,0,0,0,0
0.777862293,0.204648888,0.463407629,0,0,0,0
0.906603663,0.096635857,0.57149842,0,0,0,0
0.809050001,0.486412645,0.594722569,0,0,0,0
0.250366827,0.537068662,0.551725013,0,0,0,0
0.296246351,0.992551373,0.754575433,0,0,0,0
0.435687239,0.119989411,0.124002022,0,0,0,0
0.365075614,0.457673351,0.373933165,0,0,0,0
0.997411954,0.812737948,0.288925871,0,0,0,0
0.790608048,0.946957882,0.582133744,0,0,0,0
0.283852222,0.007051637,0.532541341,0,0,0,0
0.088590295,0.400495797,0.859365608,0,0,0,0
0.057516897,0.471370425,0.150229523,0,0,0,0
0.787279904,0.220403067,0.406732769,0,0,0,0
0.964162881,0.202221249,0.006503009,0,0,0,0
0.368814508,0.075981303,0.554343866,0,0,0,0
0.134759194,0.235956304,0.46444152,0,0,0,0
0.884814715,0.098324151,0.125855143,0,0,0,0
0.254481161,0.023630329,0.576606321,0,0,0,0
0.833730028,0.67076583,0.985881792,0,0,0,0
0.565977341,0.77406552,0.223085461,0,0,0,0
0.515270917,0.56303147,0.73988731,0,0,0,0
0.117031872,0.443090317,0.737407672,0,0,0,0
0.656789673,0.319983514,0.046439781,0,0,0,0
0.375453931,0.76975454,0.445268348,0,0,0,0
0.24670582,0.961303366,0.666690311,0,0,0,0
0.267168348,0.316965469,0.240542093,0,0,0,0
0.450145921,0.092266234,0.64585611,0,0,0,0
0.357070519,0.917638921,0.328344097,0,0,0,0
0.371277809,0.006549195,0.052868612,0,0,0,0
0.149362632,0.03673281,0.456306867,0,0,0,0
